,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Cluster,Spending_Score_Encoded
1024,466331,Male,Yes,26,Yes,Marketing,0,Low,2,Cat_3,D,2,2
1025,463912,Female,Yes,36,No,Artist,1,Average,4,Cat_4,B,1,0
1026,461728,Female,No,55,Yes,Entertainment,1,Low,1,Cat_6,A,0,2
1027,463278,Female,Yes,59,Yes,Engineer,0,Low,1,Cat_3,B,0,2
1030,461746,Male,Yes,53,Yes,Artist,2,Average,3,Cat_6,C,1,0
1031,465574,Male,Yes,62,Yes,Artist,1,Average,3,Cat_3,B,1,0
1032,462170,Male,Yes,73,No,Executive,0,High,3,Cat_6,A,0,1
1033,460626,Male,Yes,45,No,Doctor,9,High,4,Cat_6,D,2,1
1035,466678,Male,No,28,Yes,Healthcare,1,Low,4,Cat_6,D,2,2
1036,464930,Male,No,25,No,Marketing,0,Low,2,Cat_4,A,2,2
1037,465447,Male,Yes,52,Yes,Engineer,1,Average,3,Cat_4,C,1,0
1038,467549,Male,Yes,61,Yes,Entertainment,11,Average,3,Cat_6,A,1,0
1039,463718,Female,No,27,Yes,Artist,1,Low,4,Cat_6,D,2,2
1040,467626,Male,Yes,31,Yes,Entertainment,8,Average,2,Cat_6,B,1,0
1041,459058,Male,No,40,Yes,Artist,1,Low,4,Cat_3,A,2,2
1042,461983,Male,No,27,Yes,Artist,1,Low,3,Cat_6,B,2,2
1043,461207,Female,No,60,Yes,Artist,6,Low,1,Cat_6,B,0,2
1044,467585,Male,Yes,40,Yes,Healthcare,6,High,2,Cat_6,A,2,1
1045,464604,Male,Yes,32,No,Entertainment,5,Low,2,Cat_4,A,2,2
1046,462529,Female,Yes,42,Yes,Engineer,1,Low,2,Cat_6,B,0,2
1047,460475,Male,Yes,32,Yes,Doctor,0,Average,2,Cat_3,D,1,0
1048,463553,Male,No,27,Yes,Artist,9,Low,2,Cat_6,B,2,2
1049,460912,Male,No,29,No,Entertainment,1,Low,5,Cat_6,D,2,2
1050,461715,Male,No,43,Yes,Entertainment,0,Low,5,Cat_2,A,2,2
1051,459567,Male,Yes,48,Yes,Doctor,1,Average,2,Cat_6,C,1,0
1052,462340,Male,Yes,62,No,Entertainment,1,Average,6,Cat_6,B,1,0
1053,461834,Female,No,42,Yes,Artist,7,Low,2,Cat_6,C,2,2
1054,459677,Male,Yes,25,Yes,Artist,8,Average,2,Cat_6,B,1,0
1056,467911,Male,Yes,61,Yes,Healthcare,1,Low,4,Cat_6,D,0,2
1057,462981,Female,No,26,No,Homemaker,8,Low,1,Cat_6,D,2,2
1058,463055,Female,No,27,Yes,Doctor,1,Low,4,Cat_4,B,2,2
1059,461884,Female,Yes,40,Yes,Artist,0,Low,2,Cat_6,B,0,2
1060,467834,Female,No,23,No,Healthcare,0,Low,4,Cat_2,D,2,2
1061,463019,Male,Yes,45,Yes,Executive,0,High,4,Cat_6,B,1,1
1062,466996,Female,No,37,Yes,Artist,9,Low,1,Cat_6,A,2,2
1064,459479,Male,Yes,70,No,Marketing,1,Low,2,Cat_6,A,0,2
1065,465565,Male,Yes,37,Yes,Artist,1,Average,2,Cat_6,C,1,0
1066,459523,Female,No,19,No,Doctor,1,Low,4,Cat_6,D,2,2
1070,462369,Male,Yes,63,No,Entertainment,1,Average,5,Cat_6,C,1,0
1071,463053,Female,Yes,68,Yes,Artist,1,Average,2,Cat_6,C,1,0
1072,462139,Female,No,27,Yes,Healthcare,1,Low,4,Cat_2,C,2,2
1073,460922,Male,No,30,Yes,Entertainment,1,Low,3,Cat_6,D,2,2
1074,463706,Female,No,33,Yes,Doctor,0,Low,3,Cat_6,D,2,2
1075,465703,Male,Yes,25,No,Entertainment,2,Low,2,Cat_4,A,2,2
1076,462796,Female,No,37,Yes,Entertainment,1,Low,2,Cat_7,C,2,2
1077,459558,Male,No,30,Yes,Entertainment,0,Low,3,Cat_6,D,2,2
1078,459716,Female,Yes,66,Yes,Engineer,8,Average,2,Cat_6,C,1,0
1079,460599,Female,No,31,No,Engineer,0,Low,1,Cat_3,D,0,2
1080,465775,Female,No,31,Yes,Engineer,9,Low,3,Cat_6,D,2,2
1081,465392,Female,Yes,45,Yes,Artist,8,High,5,Cat_6,C,2,1
1082,464783,Male,Yes,42,No,Entertainment,0,Low,3,Cat_4,A,2,2
1083,459439,Female,Yes,46,Yes,Artist,1,Average,2,Cat_6,A,1,0
1084,464356,Female,Yes,76,Yes,Lawyer,1,High,2,Cat_6,B,0,1
1085,459881,Male,No,25,Yes,Healthcare,8,Low,4,Cat_6,D,2,2
1086,461772,Female,Yes,41,Yes,Engineer,1,Average,3,Cat_4,B,1,0
1087,460551,Male,Yes,49,Yes,Engineer,0,Average,2,Cat_3,C,1,0
1089,462248,Male,Yes,55,No,Artist,0,Low,2,Cat_6,B,0,2
1090,465011,Male,Yes,66,Yes,Executive,3,High,2,Cat_6,C,0,1
1091,467898,Female,Yes,68,Yes,Artist,0,Low,1,Cat_6,C,0,2
1094,464460,Female,No,26,Yes,Healthcare,1,Low,2,Cat_6,D,2,2
1096,461397,Male,No,20,No,Healthcare,0,Low,4,Cat_6,D,2,2
1097,464302,Female,Yes,50,Yes,Doctor,1,Low,3,Cat_6,B,0,2
1098,465458,Female,Yes,84,Yes,Artist,1,High,2,Cat_6,A,0,1
1099,467276,Male,No,43,Yes,Artist,12,Low,5,Cat_6,C,2,2
1100,461129,Female,Yes,63,Yes,Entertainment,0,Average,4,Cat_6,B,1,0
1101,467406,Male,No,37,Yes,Entertainment,9,Low,1,Cat_6,D,2,2
1102,463140,Male,Yes,31,No,Engineer,5,Average,3,Cat_3,A,1,0
1103,460980,Male,No,26,No,Entertainment,1,Low,3,Cat_3,D,2,2
1104,464666,Male,Yes,41,Yes,Entertainment,2,Average,3,Cat_4,D,1,0
1105,464236,Female,Yes,62,Yes,Artist,1,High,2,Cat_6,B,0,1
1106,466898,Male,Yes,45,Yes,Executive,0,High,4,Cat_6,B,1,1
1107,462736,Female,Yes,28,No,Engineer,6,Low,3,Cat_6,A,2,2
1108,467952,Female,Yes,89,Yes,Lawyer,0,High,2,Cat_6,C,0,1
1109,461399,Male,No,20,No,Healthcare,0,Low,4,Cat_6,D,2,2
1110,466320,Female,No,40,Yes,Engineer,9,Low,2,Cat_4,B,2,2
1111,465142,Male,No,23,No,Healthcare,0,Low,4,Cat_6,D,2,2
1112,460334,Male,No,41,Yes,Artist,4,Low,1,Cat_6,A,0,2
1113,460745,Male,Yes,78,No,Lawyer,1,High,2,Cat_6,A,0,1
1114,459812,Female,No,43,Yes,Engineer,0,Low,1,Cat_3,A,0,2
1115,465197,Female,Yes,57,Yes,Artist,0,High,4,Cat_6,C,1,1
1116,462068,Male,Yes,55,Yes,Executive,1,High,3,Cat_6,C,1,1
1117,463592,Female,No,27,Yes,Engineer,11,Low,1,Cat_6,B,2,2
1118,467352,Male,Yes,51,Yes,Executive,1,High,4,Cat_6,C,1,1
1119,465030,Male,Yes,35,Yes,Executive,9,High,4,Cat_6,C,2,1
1120,462095,Male,Yes,49,Yes,Entertainment,1,Average,3,Cat_1,A,1,0
1121,460248,Female,No,33,Yes,Healthcare,7,Low,2,Cat_6,D,2,2
1122,464286,Female,Yes,60,Yes,Artist,1,Average,2,Cat_6,C,1,0
1123,464248,Male,Yes,52,Yes,Artist,8,Low,3,Cat_6,C,2,2
1124,459167,Female,No,42,Yes,Artist,1,Low,2,Cat_5,C,0,2
1125,462710,Female,No,28,Yes,Marketing,2,Low,3,Cat_6,D,2,2
1126,462731,Female,Yes,43,Yes,Artist,5,High,3,Cat_6,B,1,1
1127,464475,Male,No,25,Yes,Healthcare,0,Low,4,Cat_6,C,2,2
1129,460108,Male,Yes,42,Yes,Artist,1,Average,3,Cat_2,C,1,0
1132,467942,Female,Yes,41,Yes,Artist,1,High,4,Cat_2,C,1,1
1133,463264,Female,Yes,71,Yes,Lawyer,0,Low,2,Cat_6,C,0,2
1134,462089,Female,Yes,42,Yes,Artist,0,Average,2,Cat_6,C,1,0
1135,467756,Male,Yes,56,Yes,Artist,1,Average,2,Cat_6,C,1,0
1136,461323,Female,Yes,41,Yes,Healthcare,6,Average,2,Cat_6,C,1,0
1137,459563,Male,Yes,72,Yes,Entertainment,7,Low,2,Cat_6,A,0,2
1138,467602,Female,No,30,No,Entertainment,1,Low,4,Cat_6,D,2,2
1139,462562,Female,No,25,Yes,Entertainment,0,Low,6,Cat_2,C,2,2
1140,461588,Male,No,33,Yes,Marketing,0,Low,4,Cat_2,D,2,2
1142,460894,Male,Yes,38,No,Executive,5,High,3,Cat_6,A,2,1
1143,459151,Male,Yes,60,Yes,Lawyer,9,Low,2,Cat_6,B,0,2
1144,466417,Female,Yes,79,No,Lawyer,1,High,3,Cat_6,A,0,1
1145,466837,Female,No,38,Yes,Marketing,9,Low,4,Cat_5,D,2,2
1146,466918,Male,Yes,56,Yes,Artist,1,Average,1,Cat_6,C,1,0
1147,464133,Male,Yes,73,No,Homemaker,2,Low,1,Cat_6,A,0,2
1148,466101,Female,No,22,No,Healthcare,0,Low,7,Cat_6,D,2,2
1149,464289,Male,Yes,42,No,Marketing,1,Low,3,Cat_6,A,2,2
1150,461936,Male,Yes,72,No,Lawyer,0,High,2,Cat_6,B,0,1
1151,459301,Female,No,33,Yes,Healthcare,0,Low,3,Cat_6,C,2,2
1152,462284,Male,Yes,53,Yes,Executive,1,Average,4,Cat_6,B,1,0
1153,463290,Female,No,25,No,Healthcare,1,Low,5,Cat_6,B,2,2
1154,462413,Male,Yes,46,Yes,Artist,0,Average,3,Cat_6,C,1,0
1155,466814,Male,No,18,No,Healthcare,0,Low,3,Cat_6,D,2,2
1156,460996,Female,No,60,Yes,Engineer,1,Low,1,Cat_6,A,0,2
1157,459714,Male,No,22,No,Doctor,2,Low,4,Cat_6,C,2,2
1158,464829,Male,No,22,No,Healthcare,9,Low,5,Cat_4,D,2,2
1159,467474,Male,No,18,No,Healthcare,3,Low,5,Cat_6,D,2,2
1160,466134,Male,Yes,39,Yes,Doctor,0,High,3,Cat_6,C,1,1
1161,460496,Male,No,19,No,Healthcare,7,Low,5,Cat_3,D,2,2
1162,461995,Female,No,30,No,Artist,7,Low,1,Cat_6,A,2,2
1163,466798,Male,No,23,No,Healthcare,4,Low,5,Cat_6,D,2,2
1164,461086,Male,No,23,No,Healthcare,1,Low,7,Cat_3,D,2,2
1165,459306,Female,No,48,Yes,Artist,4,Low,1,Cat_6,C,0,2
1166,464919,Male,Yes,39,Yes,Artist,9,Low,1,Cat_4,A,2,2
1167,461798,Female,No,56,Yes,Artist,0,Low,1,Cat_6,A,0,2
1168,466987,Male,Yes,63,No,Artist,5,Average,2,Cat_6,C,1,0
1169,459329,Female,Yes,71,No,Engineer,1,High,4,Cat_3,A,1,1
1170,465174,Female,Yes,70,Yes,Entertainment,1,High,2,Cat_6,B,0,1
1171,460979,Male,Yes,84,No,Lawyer,1,Low,1,Cat_6,A,0,2
1172,465272,Male,Yes,39,Yes,Executive,0,High,6,Cat_6,C,1,1
1173,460463,Male,Yes,42,Yes,Artist,6,Low,4,Cat_3,A,2,2
1174,460246,Male,Yes,46,Yes,Artist,4,Low,2,Cat_6,B,0,2
1175,463423,Male,Yes,63,No,Executive,0,Average,3,Cat_6,B,1,0
1176,466992,Female,Yes,55,No,Artist,0,Low,3,Cat_6,C,0,2
1177,461530,Male,Yes,42,Yes,Engineer,1,Low,2,Cat_6,A,0,2
1179,465101,Female,Yes,88,Yes,Lawyer,1,Low,1,Cat_6,D,0,2
1180,464997,Male,Yes,43,Yes,Artist,5,Average,2,Cat_6,B,1,0
1181,462255,Male,Yes,73,Yes,Executive,1,High,3,Cat_6,C,0,1
1183,462616,Male,No,30,No,Healthcare,0,Low,5,Cat_4,D,2,2
1184,460968,Male,Yes,30,No,Doctor,11,Average,2,Cat_3,A,1,0
1185,465235,Male,Yes,46,Yes,Healthcare,1,High,3,Cat_6,C,1,1
1186,461818,Female,Yes,43,Yes,Artist,2,Average,2,Cat_6,C,1,0
1187,463171,Female,Yes,36,No,Entertainment,1,High,3,Cat_3,A,1,1
1189,461634,Male,Yes,63,Yes,Entertainment,1,Low,1,Cat_6,A,0,2
1190,462150,Male,Yes,35,Yes,Artist,7,Low,2,Cat_6,C,2,2
1191,461503,Female,No,31,Yes,Artist,9,Low,2,Cat_6,B,2,2
1193,463163,Male,No,26,No,Executive,2,Low,2,Cat_3,D,2,2
1194,462358,Male,Yes,37,No,Doctor,4,Average,2,Cat_6,A,1,0
1195,460647,Female,Yes,26,No,Doctor,1,Average,2,Cat_4,D,1,0
1196,464888,Male,Yes,37,No,Entertainment,0,Low,5,Cat_4,A,2,2
1197,461652,Female,Yes,53,Yes,Artist,1,Average,3,Cat_6,C,1,0
1198,467062,Female,No,55,Yes,Artist,1,Low,1,Cat_3,A,0,2
1199,467157,Male,Yes,42,Yes,Executive,9,High,6,Cat_7,B,2,1
1200,462509,Female,Yes,46,Yes,Artist,0,Average,2,Cat_6,C,1,0
1202,465499,Male,No,63,Yes,Artist,0,Low,1,Cat_6,A,0,2
1203,464913,Male,Yes,52,Yes,Entertainment,0,Low,4,Cat_4,B,0,2
1204,465969,Female,No,28,Yes,Doctor,12,Low,2,Cat_7,D,2,2
1205,464922,Female,No,20,No,Healthcare,0,Low,5,Cat_4,D,2,2
1206,463022,Male,Yes,60,Yes,Executive,4,High,3,Cat_6,C,1,1
1207,464704,Male,Yes,42,Yes,Healthcare,0,Average,4,Cat_4,B,1,0
1208,462345,Male,Yes,46,Yes,Doctor,1,Average,6,Cat_4,B,1,0
1209,461439,Male,Yes,37,Yes,Artist,1,Average,2,Cat_6,C,1,0
1210,461599,Female,No,42,Yes,Artist,8,Low,1,Cat_6,B,2,2
1211,465705,Female,Yes,46,Yes,Artist,1,Average,4,Cat_6,C,1,0
1212,461043,Male,Yes,49,No,Healthcare,0,Low,7,Cat_4,D,2,2
1213,467551,Female,Yes,89,No,Lawyer,0,High,2,Cat_6,B,0,1
1214,464053,Female,Yes,38,No,Entertainment,4,Low,1,Cat_6,B,2,2
1215,459282,Male,Yes,48,Yes,Artist,0,Average,2,Cat_6,C,1,0
1216,461649,Female,Yes,51,Yes,Artist,3,Low,4,Cat_6,B,2,2
1217,464389,Male,Yes,73,Yes,Artist,1,High,2,Cat_2,C,0,1
1218,464293,Male,No,30,Yes,Healthcare,1,Low,4,Cat_6,C,2,2
1220,465320,Female,Yes,65,Yes,Lawyer,1,Average,2,Cat_6,B,1,0
1221,463707,Female,No,36,No,Artist,0,Low,1,Cat_5,B,0,2
1222,465436,Female,No,25,Yes,Healthcare,0,Low,3,Cat_5,B,2,2
1224,465078,Male,Yes,43,Yes,Executive,0,High,4,Cat_6,B,1,1
1225,460568,Female,Yes,33,Yes,Homemaker,0,High,2,Cat_3,C,1,1
1226,459636,Male,No,30,Yes,Entertainment,14,Low,1,Cat_6,D,2,2
1228,460129,Female,No,25,Yes,Engineer,8,Low,2,Cat_6,A,2,2
1229,465373,Male,Yes,49,Yes,Artist,4,Average,4,Cat_6,C,1,0
1230,463966,Female,No,31,Yes,Artist,9,Low,1,Cat_6,B,2,2
1232,460918,Female,No,27,Yes,Doctor,14,Low,8,Cat_6,C,2,2
1233,465954,Female,No,33,Yes,Entertainment,11,Low,3,Cat_6,A,2,2
1234,465153,Male,Yes,35,Yes,Artist,1,Average,2,Cat_6,A,1,0
1235,466502,Male,No,19,No,Healthcare,1,Low,5,Cat_3,D,2,2
1236,460819,Female,Yes,25,No,Marketing,0,High,5,Cat_4,D,2,1
1237,464993,Male,Yes,57,No,Executive,4,High,4,Cat_6,C,1,1
1238,463103,Male,Yes,45,No,Executive,1,Average,4,Cat_6,B,1,0
1239,466302,Female,Yes,47,No,Homemaker,3,High,3,Cat_6,B,1,1
1241,464288,Female,No,33,Yes,Doctor,9,Low,2,Cat_6,A,2,2
1242,460240,Male,Yes,45,Yes,Artist,3,Low,1,Cat_6,C,0,2
1243,459188,Male,No,27,No,Healthcare,1,Low,3,Cat_6,C,2,2
1244,465411,Female,Yes,38,Yes,Engineer,0,Low,1,Cat_5,D,0,2
1245,465595,Female,No,38,No,Engineer,0,Low,3,Cat_4,C,2,2
1246,466021,Male,No,87,No,Lawyer,1,Low,1,Cat_6,A,0,2
1247,461831,Male,No,30,Yes,Doctor,0,Low,3,Cat_6,C,2,2
1248,462556,Male,Yes,57,Yes,Entertainment,0,Average,7,Cat_5,C,1,0
1249,467321,Female,Yes,63,Yes,Artist,9,Low,2,Cat_6,C,0,2
1250,459327,Male,No,50,No,Doctor,9,Low,3,Cat_6,D,2,2
1251,461626,Male,Yes,68,Yes,Executive,0,High,2,Cat_6,C,0,1
1252,463337,Female,Yes,33,No,Entertainment,1,Low,2,Cat_3,A,2,2
1253,467615,Female,Yes,37,Yes,Doctor,0,Low,2,Cat_6,A,0,2
1254,463597,Female,No,25,No,Engineer,0,Low,6,Cat_6,C,2,2
1255,463784,Female,No,29,No,Engineer,0,Low,5,Cat_4,A,2,2
1256,459513,Female,No,32,Yes,Healthcare,3,Low,2,Cat_6,C,2,2
1257,465804,Female,Yes,68,No,Engineer,0,Low,1,Cat_4,A,0,2
1258,465103,Male,Yes,86,Yes,Lawyer,1,High,2,Cat_6,A,0,1
1259,464007,Male,Yes,49,Yes,Artist,0,Low,3,Cat_6,B,0,2
1260,463060,Female,Yes,32,Yes,Homemaker,12,High,2,Cat_6,D,2,1
1261,461359,Male,Yes,28,Yes,Healthcare,1,Low,4,Cat_7,D,2,2
1263,465014,Male,Yes,83,No,Lawyer,1,Low,1,Cat_6,A,0,2
1264,459100,Female,No,63,Yes,Artist,14,Low,1,Cat_6,B,0,2
1265,464083,Male,Yes,65,No,Lawyer,0,High,2,Cat_6,C,0,1
1266,464552,Female,Yes,38,Yes,Artist,1,Average,3,Cat_4,C,1,0
1267,460218,Male,Yes,61,Yes,Entertainment,1,Low,1,Cat_6,D,0,2
1268,460297,Female,Yes,46,Yes,Artist,8,Low,2,Cat_6,B,2,2
1269,467171,Female,No,30,Yes,Doctor,1,Low,2,Cat_6,C,2,2
1272,464023,Male,No,22,No,Healthcare,0,Low,5,Cat_7,D,2,2
1273,467929,Female,Yes,42,Yes,Artist,1,Average,2,Cat_6,C,1,0
1274,461049,Female,Yes,57,Yes,Doctor,0,Low,7,Cat_7,B,2,2
1275,465049,Female,Yes,49,No,Engineer,6,Low,2,Cat_6,A,2,2
1276,460751,Female,No,25,No,Artist,1,Low,3,Cat_6,D,2,2
1277,461690,Female,No,31,Yes,Engineer,0,Low,1,Cat_4,A,0,2
1278,464084,Male,No,25,No,Healthcare,1,Low,5,Cat_4,D,2,2
1279,465644,Male,No,33,Yes,Healthcare,0,Low,5,Cat_6,C,2,2
1280,459470,Male,No,29,Yes,Healthcare,9,Low,6,Cat_6,D,2,2
1281,462700,Male,Yes,38,Yes,Artist,0,Average,4,Cat_6,B,1,0
1282,465067,Male,Yes,62,Yes,Executive,8,High,2,Cat_6,C,0,1
1283,464247,Male,Yes,59,No,Engineer,0,Low,1,Cat_6,A,0,2
1284,459465,Female,Yes,27,Yes,Entertainment,3,Low,5,Cat_6,B,2,2
1285,463894,Female,Yes,51,Yes,Artist,0,Average,3,Cat_2,C,1,0
1286,466089,Male,No,59,No,Entertainment,0,Low,3,Cat_6,B,0,2
1288,467227,Female,No,37,Yes,Artist,12,Low,1,Cat_4,A,2,2
1289,459054,Male,Yes,37,Yes,Executive,9,High,4,Cat_6,C,2,1
1290,463609,Male,Yes,30,No,Artist,0,Average,2,Cat_5,A,1,0
1291,466260,Male,Yes,43,Yes,Entertainment,0,Average,2,Cat_6,B,1,0
1292,464283,Male,No,40,Yes,Artist,5,Low,2,Cat_6,A,2,2
1293,465646,Female,No,40,Yes,Artist,6,Low,2,Cat_6,B,2,2
1294,461103,Female,No,30,No,Engineer,1,Low,5,Cat_3,D,2,2
1295,464378,Female,Yes,40,Yes,Artist,9,Average,2,Cat_6,B,1,0
1296,462661,Female,Yes,62,Yes,Artist,2,High,3,Cat_6,C,0,1
1297,460266,Male,No,22,No,Healthcare,0,Low,8,Cat_6,D,2,2
1298,462983,Female,Yes,66,Yes,Lawyer,1,High,2,Cat_6,A,0,1
1299,459022,Male,Yes,67,Yes,Artist,10,Low,1,Cat_6,D,0,2
1300,463231,Male,Yes,50,Yes,Artist,1,Average,3,Cat_6,A,1,0
1301,465863,Male,No,27,No,Healthcare,5,Low,3,Cat_6,D,2,2
1302,463557,Male,No,28,Yes,Doctor,1,Low,3,Cat_6,A,2,2
1303,467636,Male,Yes,45,Yes,Doctor,1,Average,2,Cat_6,C,1,0
1304,463539,Male,Yes,59,Yes,Artist,1,Average,2,Cat_4,B,1,0
1305,459633,Male,No,19,No,Healthcare,1,Low,2,Cat_6,D,2,2
1306,462304,Male,Yes,62,Yes,Artist,1,Low,4,Cat_4,B,0,2
1308,467467,Male,No,19,No,Healthcare,0,Low,4,Cat_6,D,2,2
1309,464871,Female,No,28,Yes,Entertainment,6,Low,3,Cat_4,B,2,2
1310,462258,Male,No,25,No,Doctor,1,Low,4,Cat_6,D,2,2
1311,467813,Male,Yes,36,Yes,Entertainment,0,Low,2,Cat_4,A,2,2
1312,459068,Female,No,33,Yes,Healthcare,2,Low,2,Cat_6,A,2,2
1313,462701,Male,Yes,59,No,Entertainment,0,Average,4,Cat_6,B,1,0
1314,466536,Male,No,20,No,Healthcare,4,Low,4,Cat_4,D,2,2
1315,465668,Male,No,23,No,Healthcare,0,Low,5,Cat_4,D,2,2
1317,460340,Female,No,46,Yes,Artist,10,Low,2,Cat_6,A,2,2
1318,466820,Female,Yes,74,No,Lawyer,1,High,2,Cat_6,A,0,1
1319,462922,Male,No,26,No,Doctor,8,Low,1,Cat_3,D,2,2
1321,464130,Male,No,41,Yes,Artist,1,Low,3,Cat_6,A,2,2
1323,462735,Female,Yes,30,No,Artist,0,Average,2,Cat_1,B,1,0
1324,464412,Male,Yes,70,No,Lawyer,1,Low,2,Cat_6,D,0,2
1325,464468,Male,Yes,50,Yes,Artist,1,Low,3,Cat_6,C,0,2
1328,460173,Female,Yes,40,Yes,Artist,1,Low,3,Cat_6,C,2,2
1329,463091,Female,Yes,39,Yes,Homemaker,8,Low,1,Cat_6,D,2,2
1330,467213,Female,Yes,88,Yes,Lawyer,1,High,2,Cat_6,B,0,1
1331,461804,Female,No,43,Yes,Artist,0,Low,1,Cat_6,A,0,2
1332,466649,Male,No,19,No,Healthcare,1,Low,3,Cat_3,D,2,2
1333,460533,Female,Yes,45,No,Artist,6,Low,1,Cat_6,A,0,2
1336,461892,Female,No,35,Yes,Healthcare,0,Low,1,Cat_2,D,0,2
1337,463656,Male,Yes,53,Yes,Doctor,0,Low,3,Cat_6,A,0,2
1338,462850,Male,No,21,No,Healthcare,1,Low,4,Cat_6,D,2,2
1340,460707,Male,Yes,38,No,Artist,1,Average,3,Cat_6,C,1,0
1341,463122,Male,Yes,36,Yes,Executive,9,Average,3,Cat_6,B,1,0
1342,467588,Male,Yes,63,Yes,Artist,0,Average,4,Cat_6,C,1,0
1343,462552,Male,No,31,Yes,Artist,1,Low,2,Cat_6,A,2,2
1344,466048,Male,No,25,No,Entertainment,3,Low,1,Cat_4,A,2,2
1345,467845,Male,Yes,52,Yes,Entertainment,1,Low,2,Cat_6,C,0,2
1346,459810,Male,No,19,No,Healthcare,1,Low,4,Cat_6,D,2,2
1348,466572,Female,No,30,No,Healthcare,0,Low,4,Cat_6,D,2,2
1349,464092,Female,Yes,59,Yes,Artist,0,Average,5,Cat_6,C,1,0
1350,467025,Female,No,25,No,Engineer,1,Low,3,Cat_6,D,2,2
1351,466110,Male,Yes,77,Yes,Lawyer,0,Low,1,Cat_6,A,0,2
1352,462353,Female,Yes,58,Yes,Doctor,1,Average,2,Cat_6,C,1,0
1353,459904,Female,Yes,38,Yes,Artist,6,Low,4,Cat_6,C,2,2
1354,462011,Male,Yes,29,No,Marketing,1,Low,4,Cat_4,D,2,2
1355,462367,Male,Yes,56,Yes,Artist,1,Average,3,Cat_6,B,1,0
1356,460220,Female,No,37,Yes,Entertainment,1,Low,2,Cat_2,D,2,2
1357,461429,Male,Yes,49,Yes,Doctor,1,Average,4,Cat_6,C,1,0
1358,462668,Female,No,41,Yes,Artist,2,Low,1,Cat_6,B,0,2
1360,461699,Male,No,28,Yes,Doctor,0,Low,1,Cat_6,D,2,2
1361,464885,Female,No,35,No,Engineer,1,Low,2,Cat_4,A,2,2
1362,460989,Male,No,23,No,Healthcare,1,Low,3,Cat_1,D,2,2
1363,462156,Female,Yes,43,Yes,Artist,4,Average,2,Cat_3,C,1,0
1365,460507,Male,No,30,No,Doctor,1,Low,4,Cat_3,D,2,2
1366,462875,Male,No,20,No,Healthcare,1,Low,3,Cat_6,D,2,2
1367,461708,Male,Yes,84,No,Lawyer,0,High,2,Cat_6,B,0,1
1369,462137,Male,No,28,Yes,Doctor,1,Low,1,Cat_6,A,2,2
1370,459630,Male,Yes,73,Yes,Lawyer,1,Average,2,Cat_6,A,1,0
1372,465897,Female,Yes,42,Yes,Artist,9,Low,1,Cat_6,A,2,2
1373,465628,Male,Yes,49,Yes,Artist,2,Low,2,Cat_2,A,0,2
1376,462321,Female,No,42,Yes,Engineer,6,Low,1,Cat_6,A,2,2
1377,460511,Female,No,31,No,Doctor,0,Low,4,Cat_3,D,2,2
1378,459225,Female,Yes,49,Yes,Artist,0,Average,4,Cat_6,C,1,0
1379,467894,Male,Yes,58,Yes,Artist,0,Average,2,Cat_6,C,1,0
1380,465076,Male,Yes,72,Yes,Artist,0,High,5,Cat_6,C,1,1
1381,467573,Male,Yes,45,Yes,Artist,6,Average,4,Cat_6,B,1,0
1382,465266,Male,Yes,49,Yes,Entertainment,0,Average,5,Cat_4,B,1,0
1383,462215,Female,No,20,No,Marketing,1,Low,3,Cat_4,D,2,2
1385,467131,Male,Yes,50,Yes,Artist,0,Low,2,Cat_6,B,0,2
1387,460225,Female,Yes,78,Yes,Lawyer,3,High,2,Cat_6,C,0,1
1390,466360,Male,No,25,No,Healthcare,0,Low,3,Cat_4,B,2,2
1392,465848,Female,No,28,Yes,Healthcare,0,Low,1,Cat_7,D,2,2
1393,459043,Female,Yes,49,No,Engineer,1,Low,1,Cat_7,A,0,2
1394,463069,Male,No,29,Yes,Artist,7,Low,1,Cat_6,B,2,2
1395,459795,Male,No,52,Yes,Artist,0,Low,1,Cat_6,A,0,2
1396,464954,Male,No,23,No,Healthcare,1,Low,4,Cat_4,D,2,2
1398,463068,Male,Yes,26,Yes,Artist,9,Average,2,Cat_6,B,1,0
1399,464834,Male,Yes,51,No,Executive,1,Low,4,Cat_4,D,2,2
1400,462908,Male,Yes,27,No,Executive,10,High,3,Cat_6,A,2,1
1401,464032,Male,No,20,No,Healthcare,1,Low,3,Cat_6,D,2,2
1402,459307,Male,Yes,62,Yes,Entertainment,0,Low,1,Cat_6,B,0,2
1403,462224,Female,Yes,63,No,Engineer,4,Average,8,Cat_4,D,1,0
1404,465611,Male,No,53,Yes,Doctor,0,Low,1,Cat_6,C,0,2
1405,466322,Male,No,28,No,Doctor,0,Low,3,Cat_3,B,2,2
1406,461548,Female,No,33,Yes,Engineer,1,Low,3,Cat_6,A,2,2
1407,461870,Female,Yes,45,Yes,Artist,0,Average,2,Cat_6,C,1,0
1408,466966,Male,Yes,61,Yes,Entertainment,1,Average,2,Cat_6,C,1,0
1410,465672,Male,No,42,No,Executive,9,Low,3,Cat_4,D,2,2
1411,459317,Male,Yes,52,Yes,Executive,1,High,4,Cat_6,C,1,1
1412,464362,Female,Yes,51,Yes,Artist,1,Low,1,Cat_6,C,0,2
1413,465683,Female,No,49,No,Entertainment,1,Low,2,Cat_4,A,0,2
